checkedAt,sku,name,salePrice,regularPrice,url,changed
2025-11-06T18:35:01Z,6625835,"TCL - 55"" Class QM5K Series 4K UHD HDR QD-Mini LED Smart TV with Google TV (2025)",379.99,699.99,https://api.bestbuy.com/click/-/6625835/pdp,FALSE
2025-11-06T18:35:01Z,6625874,"TCL - 65"" Class QM5K Series 4K UHD HDR QD-Mini LED Smart TV with Google TV (2025)",549.99,899.99,https://api.bestbuy.com/click/-/6625874/pdp,FALSE
2025-11-06T18:35:01Z,6625834,"TCL - 75"" Class QM5K Series 4K UHD HDR QD-Mini LED Smart TV with Google TV (2025)",599.99,1199.99,https://api.bestbuy.com/click/-/6625834/pdp,FALSE
2025-11-06T21:30:44Z,6625835,"TCL - 55"" Class QM5K Series 4K UHD HDR QD-Mini LED Smart TV with Google TV (2025)",379.99,699.99,https://api.bestbuy.com/click/-/6625835/pdp,FALSE
2025-11-06T21:30:44Z,6625874,"TCL - 65"" Class QM5K Series 4K UHD HDR QD-Mini LED Smart TV with Google TV (2025)",549.99,899.99,https://api.bestbuy.com/click/-/6625874/pdp,FALSE
2025-11-06T21:30:44Z,6625834,"TCL - 75"" Class QM5K Series 4K UHD HDR QD-Mini LED Smart TV with Google TV (2025)",599.99,1199.99,https://api.bestbuy.com/click/-/6625834/pdp,FALSE
2025-11-07T13:42:59Z,6625835,"TCL - 55"" Class QM5K Series 4K UHD HDR QD-Mini LED Smart TV with Google TV (2025)",379.99,699.99,https://api.bestbuy.com/click/-/6625835/pdp,FALSE
2025-11-07T13:42:59Z,6625874,"TCL - 65"" Class QM5K Series 4K UHD HDR QD-Mini LED Smart TV with Google TV (2025)",549.99,899.99,https://api.bestbuy.com/click/-/6625874/pdp,FALSE
2025-11-07T13:42:59Z,6625834,"TCL - 75"" Class QM5K Series 4K UHD HDR QD-Mini LED Smart TV with Google TV (2025)",599.99,1199.99,https://api.bestbuy.com/click/-/6625834/pdp,FALSE
2025-11-07T21:26:34Z,6625835,"TCL - 55"" Class QM5K Series 4K UHD HDR QD-Mini LED Smart TV with Google TV (2025)",379.99,699.99,https://api.bestbuy.com/click/-/6625835/pdp,FALSE
2025-11-07T21:26:34Z,6625874,"TCL - 65"" Class QM5K Series 4K UHD HDR QD-Mini LED Smart TV with Google TV (2025)",549.99,899.99,https://api.bestbuy.com/click/-/6625874/pdp,FALSE
2025-11-07T21:26:34Z,6625834,"TCL - 75"" Class QM5K Series 4K UHD HDR QD-Mini LED Smart TV with Google TV (2025)",599.99,1199.99,https://api.bestbuy.com/click/-/6625834/pdp,FALSE
2025-11-08T13:35:40Z,6625835,"TCL - 55"" Class QM5K Series 4K UHD HDR QD-Mini LED Smart TV with Google TV (2025)",379.99,699.99,https://api.bestbuy.com/click/-/6625835/pdp,FALSE
2025-11-08T13:35:40Z,6625874,"TCL - 65"" Class QM5K Series 4K UHD HDR QD-Mini LED Smart TV with Google TV (2025)",549.99,899.99,https://api.bestbuy.com/click/-/6625874/pdp,FALSE
2025-11-08T13:35:40Z,6625834,"TCL - 75"" Class QM5K Series 4K UHD HDR QD-Mini LED Smart TV with Google TV (2025)",599.99,1199.99,https://api.bestbuy.com/click/-/6625834/pdp,FALSE
2025-11-08T21:26:35Z,6625835,"TCL - 55"" Class QM5K Series 4K UHD HDR QD-Mini LED Smart TV with Google TV (2025)",379.99,699.99,https://api.bestbuy.com/click/-/6625835/pdp,FALSE
2025-11-08T21:26:35Z,6625874,"TCL - 65"" Class QM5K Series 4K UHD HDR QD-Mini LED Smart TV with Google TV (2025)",549.99,899.99,https://api.bestbuy.com/click/-/6625874/pdp,FALSE
2025-11-08T21:26:35Z,6625834,"TCL - 75"" Class QM5K Series 4K UHD HDR QD-Mini LED Smart TV with Google TV (2025)",599.99,1199.99,https://api.bestbuy.com/click/-/6625834/pdp,FALSE
2025-11-09T13:35:23Z,6625835,"TCL - 55"" Class QM5K Series 4K UHD HDR QD-Mini LED Smart TV with Google TV (2025)",379.99,699.99,https://api.bestbuy.com/click/-/6625835/pdp,FALSE
2025-11-09T13:35:23Z,6625874,"TCL - 65"" Class QM5K Series 4K UHD HDR QD-Mini LED Smart TV with Google TV (2025)",549.99,899.99,https://api.bestbuy.com/click/-/6625874/pdp,FALSE
2025-11-09T13:35:23Z,6625834,"TCL - 75"" Class QM5K Series 4K UHD HDR QD-Mini LED Smart TV with Google TV (2025)",599.99,1199.99,https://api.bestbuy.com/click/-/6625834/pdp,FALSE
2025-11-09T21:27:29Z,6625835,"TCL - 55"" Class QM5K Series 4K UHD HDR QD-Mini LED Smart TV with Google TV (2025)",379.99,699.99,https://api.bestbuy.com/click/-/6625835/pdp,FALSE
2025-11-09T21:27:29Z,6625874,"TCL - 65"" Class QM5K Series 4K UHD HDR QD-Mini LED Smart TV with Google TV (2025)",549.99,899.99,https://api.bestbuy.com/click/-/6625874/pdp,FALSE
2025-11-09T21:27:29Z,6625834,"TCL - 75"" Class QM5K Series 4K UHD HDR QD-Mini LED Smart TV with Google TV (2025)",599.99,1199.99,https://api.bestbuy.com/click/-/6625834/pdp,FALSE
2025-11-10T13:48:32Z,6625835,"TCL - 55"" Class QM5K Series 4K UHD HDR QD-Mini LED Smart TV with Google TV (2025)",349.99,699.99,https://api.bestbuy.com/click/-/6625835/pdp,TRUE
2025-11-10T13:48:32Z,6625874,"TCL - 65"" Class QM5K Series 4K UHD HDR QD-Mini LED Smart TV with Google TV (2025)",499.99,899.99,https://api.bestbuy.com/click/-/6625874/pdp,TRUE
2025-11-10T13:48:32Z,6625834,"TCL - 75"" Class QM5K Series 4K UHD HDR QD-Mini LED Smart TV with Google TV (2025)",649.99,1199.99,https://api.bestbuy.com/click/-/6625834/pdp,TRUE
